Filename	Predicted Category
01109-EC_Corporate-Finance-Syllabus.txt	Finance
091-b403186-reid.txt	Finance
14780.txt	Finance
2016CFNCE611001.txt	Finance
2310a.txt	Finance
2310B001-003.txt	Finance
3_Course-Outline-FINANCE-707-S21.txt	Finance
405.txt	Finance
50009.txt	Finance
82365.txt	Finance
acct_221032110.txt	Accounting
BAFI-550_Syllabus-2021-b.txt	Finance
BANKING-AND-FINANCE-PROGRAM-COURSE-CONTENT.txt	Finance
BerkeleyAcc.txt	Accounting
BerkeleyFin.txt	Finance
BFN201_3061_SyllabusF17.txt	Finance
bus-290-003.txt	Finance
BUSI2501-H.-Tuzcuolgu.txt	Finance
Business-Finance-Fundamentals-Syllabus-July-2020.txt	Finance
busn-0105.txt	Finance
BUS_260_2015-02_0.txt	Finance
CaseAcc.txt	Accounting
CaseFin.txt	Finance
CHNFin.txt	Finance
CMUAcc.txt	Accounting
COMM370-Syllabus.txt	Finance
Course Outline - Business Finance 1.txt	Finance
CourseraAcc.txt	Accounting
CourseraFin.txt	Finance
course_syllabus.txt	Finance
CUBE.txt	Finance
CUFEAcc.txt	Accounting
CUFEFin.txt	Finance
CUHKAcc.txt	Accounting
CUHKFin.txt	Finance
Dal.txt	Finance
DHAcc.txt	Accounting
DHFin.txt	Finance
Duke.txt	Outlier
EM-270_Sun.txt	Finance
EM370YangFL11.txt	Finance
EwhaAcc.txt	Accounting
EwhaFin.txt	Finance
Feng.txt	Finance
Feng2.txt	Finance
Feng3.txt	Accounting
FIN-110-002-Rob-Sorensen-2023F.txt	Finance
FIN-110-007-Francis-Michaud-2023W.txt	Finance
fin-300-02-griffin.txt	Finance
FIN-751-Syllabus.txt	Finance
fin2200.txt	Finance
FIN36922.txt	Finance
Finance_601_Outline_2021.txt	Finance
FINE-5200-X-Managerial-Finance-completed-Syllabus.txt	Outlier
fin_pos.txt	Accounting
Greg-Warneke_Pierce-HS_Personal-Finance-Semester-Syllabus.txt	Finance
H11FM-Financial-Decision-Making-Syllabus.txt	Accounting
IITAcc.txt	Finance
IITFin.txt	Finance
IOT.txt	Accounting
Kar.txt	Finance
Katie-Harmon_Omaha-Westside_Personal-Finance-course-syllabus.txt	Finance
McGill.txt	Outlier
MCS 2100DE_W18.txt	Finance
MGMT1560+Course+Outline.txt	Finance
MM.txt	Finance
MM2.txt	Finance
MOS-2277A-550-FW22-Hawn.txt	Finance
MOS-2277B-551-Course-Syllabus-Winter-2022.txt	Finance
Mumbai.txt	Finance
NanjingAcc.txt	Accounting
NanjingFin.txt	Finance
NMIMSAcc.txt	Outlier
NMIMSAcc3.txt	Accounting
NMIMSFin.txt	Outlier
NMIMSFin2.txt	Outlier
NMIMSFin3.txt	Outlier
Personal-Finance-14-133.txt	Finance
personal_finance.txt	Finance
Prin of Finance   SYB.txt	Finance
Principles-of-Finance-14-26.txt	Finance
Queens.txt	Finance
RPIAcc.txt	Accounting
RPIFin.txt	Finance
rsm329h1s-20231.txt	Accounting
ShanghaiAcc.txt	Accounting
ShanghaiFin.txt	Finance
SharifAcc.txt	Accounting
SharifFin.txt	Finance
SharifFin2.txt	Finance
StudentFin101_Syllabus.txt	Finance
Syllabus_2016_AT_Fall.txt	Finance
Syl_London_FINC-UB9002L01_Nitzsche.txt	Finance
TaiwanAcc.txt	Accounting
TMAcc.txt	Accounting
TMFin.txt	Finance
UBC.txt	Accounting
UCI.txt	Accounting
UCLA.txt	Accounting
UlsterAcc.txt	Accounting
UlsterFin.txt	Accounting
UofT.txt	Finance
UofT2.txt	Accounting
Wat.txt	Finance
West.txt	Finance
York.txt	Finance
_Personal Finance 9-Week Course Syllabus.txt	Finance
